Name;City;Country;ICAO;;;;
Bayreuth Airport;Bayreuth;Germany;EDQD;;;;
Burg Feuerstein Airport;Burg Feuerstein;Germany;EDQE;;;;
Hof-Plauen Airport;Hof;Germany;EDQM;;;;
Haßfurt-Schweinfurt Airport;Hassfurt;Germany;EDQT;;;;
Koblenz-Winningen Airfield;Koblenz;Germany;EDRK;;;;
Trier-Föhren Airport;Trier;Germany;EDRT;;;;
Speyer Airfield;Speyer;Germany;EDRY;;;;
Zweibrücken Airport;Zweibruecken;Germany;EDRZ;;;;
Donaueschingen-Villingen Airport;Donaueschingen;Germany;EDTD;;;;
Freiburg i. Br. Airport;Freiburg;Germany;EDTF;;;;
Mengen-Hohentengen Airport;Mengen;Germany;EDTM;;;;
Adolf Würth Airport;Schwaebisch Hall;Germany;EDTY;;;;
Finsterwalde/Schacksdorf Airport;Soest;Germany;EDUS;;;;
Braunschweig-Wolfsburg Airport;Braunschweig;Germany;EDVE;;;;
Kassel-Calden Airport;Kassel;Germany;EDVK;;;;
Hildesheim Airport;Hildesheim;Germany;EDVM;;;;
Bremerhaven Airport;Bremerhaven;Germany;EDWB;;;;
Emden Airport;Emden;Germany;EDWE;;;;
Leer-Papenburg Airport;Leer;Germany;EDWF;;;;
Wilhelmshaven-Mariensiel Airport;Wilhelmshaven;Germany;EDWI;;;;
Borkum Airport;Borkum;Germany;EDWR;;;;
Norderney Airport;Norderney;Germany;EDWY;;;;
Flensburg-Schäferhaus Airport;Flensburg;Germany;EDXF;;;;
Rendsburg-Schachtholm Airport;Rendsburg;Germany;EDXR;;;;
Westerland Sylt Airport;Westerland;Germany;EDXW;;;;
Ämari Air Base;Armari Air Force Base;Estonia;EEEI;;;;
Kärdla Airport;Kardla;Estonia;EEKA;;;;
Kuressaare Airport;Kuressaare;Estonia;EEKE;;;;
Pärnu Airport;Parnu;Estonia;EEPU;;;;
Lennart Meri Tallinn Airport;Tallinn-ulemiste International;Estonia;EETN;;;;
Tartu Airport;Tartu;Estonia;EETU;;;;
Enontekio Airport;Enontekio;Finland;EFET;;;;
Eura Airport;Eura;Finland;EFEU;;;;
Halli Airport;Halli;Finland;EFHA;;;;
Helsinki Malmi Airport;Helsinki;Finland;EFHF;;;;
Helsinki Vantaa Airport;Helsinki;Finland;EFHK;;;;
Hameenkyro Airport;Hameenkyro;Finland;EFHM;;;;
Hanko Airport;Hanko;Finland;EFHN;;;;
Hyvinkää Airfield;Hyvinkaa;Finland;EFHV;;;;
Kiikala Airport;Kikala;Finland;EFIK;;;;
Immola Airport;Immola;Finland;EFIM;;;;
Kitee Airport;Kitee;Finland;EFIT;;;;
Ivalo Airport;Ivalo;Finland;EFIV;;;;
Joensuu Airport;Joensuu;Finland;EFJO;;;;
Jyvaskyla Airport;Jyvaskyla;Finland;EFJY;;;;
Kauhava Airport;Kauhava;Finland;EFKA;;;;
Kemi-Tornio Airport;Kemi;Finland;EFKE;;;;
Kajaani Airport;Kajaani;Finland;EFKI;;;;
Kauhajoki Airport;Kauhajoki;Finland;EFKJ;;;;
Kokkola-Pietarsaari Airport;Kruunupyy;Finland;EFKK;;;;
Kemijarvi Airport;Kemijarvi;Finland;EFKM;;;;
Kuusamo Airport;Kuusamo;Finland;EFKS;;;;
Kittilä Airport;Kittila;Finland;EFKT;;;;
Kuopio Airport;Kuopio;Finland;EFKU;;;;
Lahti Vesivehmaa Airport;Vesivehmaa;Finland;EFLA;;;;
Lappeenranta Airport;Lappeenranta;Finland;EFLP;;;;
Mariehamn Airport;Mariehamn;Finland;EFMA;;;;
Menkijarvi Airport;Menkijarvi;Finland;EFME;;;;
Mikkeli Airport;Mikkeli;Finland;EFMI;;;;
Nummela Airport;Nummela;Finland;EFNU;;;;
Oulu Airport;Oulu;Finland;EFOU;;;;
